month,day,average_speed
12,1,12.007631003215996
12,2,12.407803028229939
12,3,12.421461831675739
12,4,11.767882354497914
12,5,11.528456982400794
12,6,11.560260564962974
12,7,11.66821745224527
12,8,12.15622710600498
12,9,12.71255266038715
12,10,12.491219628238264
12,11,11.817927944495073
12,12,11.553214404182357
12,13,11.20524086608765
12,14,11.46570486901781
12,15,11.759554573124037
12,16,12.103428807473163
12,17,12.23771185694148
12,18,11.557258401450936
12,19,11.480166386140478
12,20,11.262755259916787
12,21,11.594863613724401
12,22,12.325043792865863
12,23,12.74793645565282
12,24,13.072861603072337
12,25,15.046320796864137
12,26,13.301189061956862
12,27,12.789587439252019
12,28,12.636131347304419
12,29,12.762691271715719
12,30,13.066962385533817
12,31,12.935218377707958
