year,month,day,hospital
2010,7,27,439
2010,7,28,436
2010,7,29,443
2010,7,30,445
2010,7,31,281
2010,8,1,294
2010,8,2,190
2010,8,3,237
2010,8,4,217
2010,8,5,328
2010,8,6,359
2010,8,7,290
2010,8,8,257
2010,8,9,366
2010,8,10,442
2010,8,11,415
2010,8,12,398
2010,8,13,352
2010,8,14,271
2010,8,15,242
2010,8,16,366
2010,8,17,446
2010,8,18,390
2010,8,19,428
2010,8,20,451
2010,8,21,275
2010,8,22,253
2010,8,23,389
2010,8,24,396
2010,8,25,455
2010,8,26,418
2010,8,27,389
2010,8,28,279
2010,8,29,254
2010,8,30,362
2010,8,31,375
2010,9,1,439
2010,9,2,430
2010,9,3,450
2010,9,4,253
2010,9,5,238
2010,9,6,235
2010,9,7,381
2010,9,8,386
2010,9,9,411
2010,9,10,403
2010,9,11,434
2010,9,12,385
2010,9,13,406
2010,9,14,430
2010,9,15,455
2010,9,16,409
2010,9,17,464
2010,9,18,472
2010,9,19,547
2010,9,20,319
2010,9,21,438
2010,9,22,444
2010,9,23,450
2010,9,24,428
2010,9,25,310
2010,9,26,276
2010,9,27,427
2010,9,28,474
2010,9,29,450
2010,9,30,434
2010,10,1,227
2010,10,2,164
2010,10,3,145
2010,10,4,440
2010,10,5,435
2010,10,6,433
2010,10,7,471
2010,10,8,443
2010,10,9,307
2010,10,10,283
2010,10,11,385
2010,10,12,466
2010,10,13,473
2010,10,14,452
2010,10,15,416
2010,10,16,342
2010,10,17,315
2010,10,18,463
2010,10,19,458
2010,10,20,492
2010,10,21,461
2010,10,22,480
2010,10,23,331
2010,10,24,290
2010,10,25,426
2010,10,26,431
2010,10,27,508
2010,10,28,465
2010,10,29,463
2010,10,30,375
2010,10,31,318
2010,11,1,453
2010,11,2,446
2010,11,3,434
2010,11,4,527
2010,11,5,474
2010,11,6,317
2010,11,7,268
2010,11,8,423
2010,11,9,419
2010,11,10,443
2010,11,11,400
2010,11,12,490
2010,11,13,331
2010,11,14,298
2010,11,15,423
2010,11,16,399
2010,11,17,474
2010,11,18,498
2010,11,19,486
2010,11,20,364
2010,11,21,319
2010,11,22,430
2010,11,23,457
2010,11,24,438
2010,11,25,238
2010,11,26,270
2010,11,27,277
2010,11,28,293
2010,11,29,453
2010,11,30,491
2010,12,1,482
2010,12,2,506
2010,12,3,469
2010,12,4,336
2010,12,5,352
2010,12,6,458
2010,12,7,488
2010,12,8,513
2010,12,9,501
2010,12,10,495
2010,12,11,378
2010,12,12,339
2010,12,13,479
2010,12,14,529
2010,12,15,503
2010,12,16,520
2010,12,17,481
2010,12,18,352
2010,12,19,313
2010,12,20,454
2010,12,21,464
2010,12,22,473
2010,12,23,423
2010,12,24,264
2010,12,25,214
2010,12,26,159
2010,12,27,82
2010,12,28,258
2010,12,29,335
2010,12,30,368
2010,12,31,312
2011,1,1,147
2011,1,2,114
2011,1,3,397
2011,1,4,445
2011,1,5,495
2011,1,6,511
2011,1,7,457
2011,1,8,341
2011,1,9,344
2011,1,10,424
2011,1,11,468
2011,1,12,358
2011,1,13,466
2011,1,14,520
2011,1,15,323
2011,1,16,281
2011,1,17,292
2011,1,18,489
2011,1,19,515
2011,1,20,494
2011,1,21,466
2011,1,22,419
2011,1,23,306
2011,1,24,505
2011,1,25,471
2011,1,26,426
2011,1,27,343
2011,1,28,413
2011,1,29,353
2011,1,30,316
2011,1,31,443
2011,2,1,490
2011,2,2,445
2011,2,3,501
2011,2,4,486
2011,2,5,352
2011,2,6,325
2011,2,7,450
2011,2,8,479
2011,2,9,514
2011,2,10,558
2011,2,11,502
2011,2,12,427
2011,2,13,327
2011,2,14,501
2011,2,15,503
2011,2,16,535
2011,2,17,479
2011,2,18,465
2011,2,19,427
2011,2,20,332
2011,2,21,323
2011,2,22,463
2011,2,23,474
2011,2,24,504
2011,2,25,514
2011,2,26,356
2011,2,27,316
2011,2,28,441
2011,3,1,542
2011,3,2,536
2011,3,3,505
2011,3,4,512
2011,3,5,372
2011,3,6,365
2011,3,7,454
2011,3,8,500
2011,3,9,525
2011,3,10,609
2011,3,11,494
2011,3,12,370
2011,3,13,336
2011,3,14,445
2011,3,15,454
2011,3,16,511
2011,3,17,476
2011,3,18,463
2011,3,19,329
2011,3,20,342
2011,3,21,479
2011,3,22,481
2011,3,23,569
2011,3,24,534
2011,3,25,526
2011,3,26,357
2011,3,27,287
2011,3,28,455
2011,3,29,459
2011,3,30,520
2011,3,31,502
2011,4,1,242
2011,4,2,179
2011,4,3,175
2011,4,4,464
2011,4,5,475
2011,4,6,525
2011,4,7,538
2011,4,8,489
2011,4,9,355
2011,4,10,320
2011,4,11,456
2011,4,12,540
2011,4,13,545
2011,4,14,493
2011,4,15,507
2011,4,16,376
2011,4,17,282
2011,4,18,436
2011,4,19,509
2011,4,20,449
2011,4,21,489
2011,4,22,488
2011,4,23,327
2011,4,24,274
2011,4,25,461
2011,4,26,485
2011,4,27,461
2011,4,28,536
2011,4,29,503
2011,4,30,337
2011,5,1,307
2011,5,2,457
2011,5,3,467
2011,5,4,523
2011,5,5,527
2011,5,6,517
2011,5,7,327
2011,5,8,293
2011,5,9,478
2011,5,10,515
2011,5,11,504
2011,5,12,482
2011,5,13,497
2011,5,14,360
2011,5,15,364
2011,5,16,499
2011,5,17,518
2011,5,18,564
2011,5,19,487
2011,5,20,487
2011,5,21,343
2011,5,22,294
2011,5,23,480
2011,5,24,491
2011,5,25,512
2011,5,26,495
2011,5,27,481
2011,5,28,264
2011,5,29,262
2011,5,30,254
2011,5,31,452
2011,6,1,527
2011,6,2,496
2011,6,3,534
2011,6,4,350
2011,6,5,288
2011,6,6,455
2011,6,7,494
2011,6,8,539
2011,6,9,503
2011,6,10,502
2011,6,11,356
2011,6,12,296
2011,6,13,489
2011,6,14,508
2011,6,15,500
2011,6,16,521
2011,6,17,505
2011,6,18,321
2011,6,19,275
2011,6,20,449
2011,6,21,478
2011,6,22,483
2011,6,23,487
2011,6,24,492
2011,6,25,362
2011,6,26,275
2011,6,27,438
2011,6,28,425
2011,6,29,437
2011,6,30,492
2011,7,1,421
2011,7,2,248
2011,7,3,231
2011,7,4,223
2011,7,5,427
2011,7,6,419
2011,7,7,453
2011,7,8,540
2011,7,9,318
2011,7,10,312
2011,7,11,447
2011,7,12,494
2011,7,13,495
2011,7,14,482
2011,7,15,491
2011,7,16,322
2011,7,17,355
2011,7,18,429
2011,7,19,464
2011,7,20,463
2011,7,21,471
2011,7,22,512
2011,7,23,363
2011,7,24,315
2011,7,25,445
2011,7,26,439
2011,7,27,423
2011,7,28,464
2011,7,29,490
2011,7,30,320
2011,7,31,279
2011,8,1,381
2011,8,2,451
2011,8,3,524
2011,8,4,423
2011,8,5,442
2011,8,6,315
2011,8,7,312
2011,8,8,410
2011,8,9,440
2011,8,10,473
2011,8,11,415
